s_cusip_id,fid,exp
1,1657,6916.1249
1,5957,359.4441
1,2492,0.0
1,9187,0.0
1,2,322.2881
1,3,9285.3217
1,2515,609.4444
1,9185,799.2319
1,2518,379.5751
1,2517,0.0
1,9188,0.0
1,1,85.814
1,4,23594.7945
1,2516,60.8021
1,9186,250.5896
1,2888,187.4457
1,2904,187.4457
1,2912,187.4457
1,8474,-23.6251
2,1657,8476.0207
2,5957,941.1692
2,7,10280.3072
2,2492,5893.656
2,9187,12007.2864
2,2523,11960.2448
2,8,15765.4912
2,2,288.8161
2,9,54847.1603
2,374,49432.7148
2,3,606.6775
2,2519,0.0
2,2515,38.2927
2,9185,59.4381
2,2518,42.2908
2,2517,9157.9465
2,9188,15138.0689
2,1,77.131
2,4,1467.0837
2,5,2813.3434
2,2521,267.0159
2,2522,0.0
2,2516,250.4879
2,9186,405.1413
2,6,4860.2556
2,2888,1402.5633
2,2903,1402.5633
2,2912,1402.5633
2,8474,-1306.4244
3,1657,2764.9704
3,5957,199.869
3,2492,-0.0163
3,9187,-0.0163
3,2,137.9908
3,3,286.781
3,2515,112.5484
3,9185,352.1709
3,2518,479.2451
3,2517,-0.0163
3,9188,-0.0163
3,1,32.399
3,4,11028.9643
3,5,4199.6776
3,2516,-47.8335
3,9186,191.7891
3,2888,103.5617
3,2912,103.5617
3,8474,-44.7454
3,712,182.0252
4,1657,5381.4314
4,5957,352.5288
4,7,25925.6606
4,2492,868.9179
4,9187,2665.2537
4,2,259.3917
4,3,539.0327
4,2519,0.0391
4,2515,34.0246
4,9185,51.8955
4,2518,35.7027
4,2517,1.3402
4,9188,1.3402
4,1,60.9077
4,4,1309.586
4,5,2524.1476
4,2521,3592.6324
4,2516,342.0763
4,9186,2156.2439
4,6,30687.519
4,2888,405.2377
4,2905,405.2377
4,2912,405.2377
4,8474,-352.9022
4,712,1400.651
5,1657,1998.2931
5,5950,100.0851
5,2,128.8003
5,3,4341.6537
5,2515,177.9704
5,9185,212.3679
5,2518,68.7949
5,1,22.5751
5,4,4183.1998
5,2516,6.9048
5,9186,41.3022
5,2907,52.7683
5,2872,52.7683
5,8474,-71.2875
6,1657,4302.8771
6,5950,258.632
6,2492,0.0
6,9187,0.0
6,2,228.8207
6,3,478.3423
6,2515,188.0075
6,9185,447.8861
6,2518,519.7572
6,2517,0.0
6,9188,0.0
6,1,59.5157
6,4,15238.3115
6,5,10386.5203
6,2516,400.1068
6,9186,659.9854
6,2872,166.9907
6,8474,-171.7778
7,1657,5315.9729
7,5950,334.0146
7,2492,4.9926
7,9187,99.939
7,2,243.329
7,3,513.3618
7,2515,32.4164
7,9185,50.3602
7,2518,35.8876
7,2517,-0.0
7,9188,-0.0
7,1,66.2243
7,4,1243.5995
7,5,31823.0321
7,2521,189.8929
7,2516,1854.7947
7,9186,1967.685
7,6,4390.5454
7,2872,299.322
7,8474,-10.1759
8,1657,3109.3328
8,5950,216.76
8,2492,18.2929
8,9187,156.9847
8,2,134.1694
8,3,275.2361
8,2515,17.4835
8,9185,26.9229
8,2518,18.8789
8,1,29.0501
8,4,668.8665
8,5,16561.6405
8,2521,277.3836
8,2516,1085.6158
8,9186,1233.747
8,6,6518.8159
8,2872,176.3335
8,8474,-118.1026
9,1657,2053.5304
9,5950,135.5614
9,7,439.1927
9,2492,-212.0278
9,9187,292.3414
9,2,79.1162
9,3,163.4612
9,2519,0.0306
9,2515,10.2866
9,9185,15.6169
9,2518,10.63
9,2517,0.6516
9,9188,0.6516
9,1,19.5104
9,4,395.6524
9,5,1195.991
9,2521,1008.7077
9,2516,435.5611
9,9186,945.2299
9,6,17450.1716
9,2872,146.5189
9,8474,-334.2003
9,712,682.24
10,1657,4541.9883
10,5950,524.1387
10,7,4832.0069
10,2492,1735.0711
10,9187,4517.342
10,2523,5436.9993
10,8,7296.1301
10,2,142.5721
10,9,8105.1915
10,374,32636.4398
10,3,293.4792
10,2519,-0.0217
10,2515,19.0143
10,9185,29.2226
10,2520,-0.0205
10,2518,20.4589
10,10,16763.8197
10,2517,9237.4785
10,9188,11955.9357
10,1,35.2672
10,4,706.2778
10,5,1352.55
10,2521,127.5642
10,2522,-0.0644
10,2516,121.4905
10,9186,195.4699
10,6,2309.8142
10,2906,992.9619
10,2872,992.9619
10,8474,-1539.8606
10,712,1799.8618
